Trajectory: 2641 points, duration 41.06s

pt 0073 t=3.198s  j1=0.1180(v=0.1187)  j2=0.0172(v=0.0556)  j3=-0.2316(v=-0.1924)  j4=-0.4485(v=-0.0155)  j5=0.2749(v=0.2734)  j6=0.4337(v=-0.0143)
pt 0074 t=3.211s  j1=0.1196(v=0.1193)  j2=0.0180(v=0.0570)  j3=-0.2343(v=-0.1924)  j4=-0.4487(v=-0.0154)  j5=0.2787(v=0.2748)  j6=0.4335(v=-0.0150)
pt 0075 t=3.225s  j1=0.1212(v=0.1198)  j2=0.0188(v=0.0584)  j3=-0.2369(v=-0.1924)  j4=-0.4489(v=-0.0153)  j5=0.2824(v=0.2762)  j6=0.4333(v=-0.0157)
pt 0076 t=3.239s  j1=0.1229(v=0.1204)  j2=0.0196(v=0.0597)  j3=-0.2395(v=-0.1924)  j4=-0.4491(v=-0.0152)  j5=0.2862(v=0.2776)  j6=0.4331(v=-0.0163)
pt 0077 t=3.252s  j1=0.1245(v=0.1210)  j2=0.0204(v=0.0611)  j3=-0.2422(v=-0.1924)  j4=-0.4493(v=-0.0151)  j5=0.2900(v=0.2791)  j6=0.4329(v=-0.0170)
pt 0078 t=3.266s  j1=0.1262(v=0.1216)  j2=0.0212(v=0.0626)  j3=-0.2448(v=-0.1924)  j4=-0.4495(v=-0.0150)  j5=0.2938(v=0.2806)  j6=0.4326(v=-0.0177)
pt 0079 t=3.279s  j1=0.1278(v=0.1222)  j2=0.0221(v=0.0640)  j3=-0.2473(v=-0.1924)  j4=-0.4497(v=-0.0149)  j5=0.2975(v=0.2821)  j6=0.4324(v=-0.0184)
pt 0080 t=3.293s  j1=0.1294(v=0.1228)  j2=0.0230(v=0.0654)  j3=-0.2499(v=-0.1924)  j4=-0.4499(v=-0.0149)  j5=0.3013(v=0.2836)  j6=0.4322(v=-0.0191)
pt 0081 t=3.306s  j1=0.1311(v=0.1234)  j2=0.0238(v=0.0669)  j3=-0.2525(v=-0.1924)  j4=-0.4501(v=-0.0148)  j5=0.3051(v=0.2851)  j6=0.4319(v=-0.0197)
pt 0082 t=3.319s  j1=0.1327(v=0.1240)  j2=0.0247(v=0.0684)  j3=-0.2550(v=-0.1924)  j4=-0.4503(v=-0.0148)  j5=0.3089(v=0.2866)  j6=0.4316(v=-0.0204)
pt 0083 t=3.332s  j1=0.1343(v=0.1246)  j2=0.0256(v=0.0699)  j3=-0.2575(v=-0.1924)  j4=-0.4505(v=-0.0148)  j5=0.3126(v=0.2881)  j6=0.4314(v=-0.0211)
pt 0084 t=3.345s  j1=0.1360(v=0.1252)  j2=0.0266(v=0.0714)  j3=-0.2600(v=-0.1924)  j4=-0.4507(v=-0.0147)  j5=0.3164(v=0.2897)  j6=0.4311(v=-0.0218)
pt 0085 t=3.358s  j1=0.1376(v=0.1258)  j2=0.0275(v=0.0729)  j3=-0.2626(v=-0.1924)  j4=-0.4509(v=-0.0147)  j5=0.3202(v=0.2913)  j6=0.4308(v=-0.0224)
pt 0086 t=3.371s  j1=0.1392(v=0.1265)  j2=0.0285(v=0.0744)  j3=-0.2650(v=-0.1924)  j4=-0.4511(v=-0.0147)  j5=0.3240(v=0.2929)  j6=0.4305(v=-0.0231)
